epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.0075,4.8937,3.5189,0.01556,0.16038,0.0189,0.0138,2.304,4.8492,3.5085,4.76e-05,4.76e-05,4.76e-05
2,2.3693,4.6993,3.0276,0.00523,0.08903,0.00773,0.00361,1.8718,4.4688,2.6361,9.114e-05,9.114e-05,9.114e-05
3,1.7665,4.3723,2.4988,0.01319,0.52713,0.04649,0.02248,1.0375,3.6662,1.5171,0.00012808,0.00012808,0.00012808
4,1.3442,3.9615,2.1128,0.01515,0.65228,0.0594,0.03866,0.90415,3.4199,1.345,0.00015843,0.00015843,0.00015843
5,1.194,3.5429,1.8698,0.54442,0.13013,0.10275,0.07709,0.94061,2.9955,1.3338,0.00017517,0.00017517,0.00017517
6,0.76044,3.0382,1.6394,0.67204,0.17188,0.16135,0.1348,0.8659,2.7532,1.8269,0.00015946,0.00015946,0.00015946
7,0.59603,2.6333,1.5188,0.70552,0.17122,0.20288,0.17503,0.78168,2.4783,1.7008,0.00014375,0.00014375,0.00014375
8,0.57095,2.3856,1.4534,0.37084,0.28144,0.23944,0.21277,0.57177,2.2217,1.6252,0.00012804,0.00012804,0.00012804
9,0.48096,2.1452,1.411,0.4001,0.33811,0.25514,0.22884,0.56788,2.1326,1.5999,0.00011234,0.00011234,0.00011234
10,0.48,1.9804,1.357,0.43476,0.3236,0.29855,0.27175,0.50747,1.9965,1.6005,9.6628e-05,9.6628e-05,9.6628e-05
11,0.39546,1.8659,1.3218,0.46711,0.32472,0.29443,0.26505,0.51992,2.0801,1.5934,8.092e-05,8.092e-05,8.092e-05
12,0.41289,1.7369,1.2782,0.3925,0.35872,0.30237,0.27369,0.49988,1.9684,1.4506,6.5212e-05,6.5212e-05,6.5212e-05
13,0.37167,1.6913,1.283,0.39741,0.33506,0.3099,0.28064,0.46872,1.8988,1.4926,4.9504e-05,4.9504e-05,4.9504e-05
14,0.36743,1.591,1.2548,0.44151,0.36851,0.31579,0.28886,0.43651,1.8866,1.4515,3.3796e-05,3.3796e-05,3.3796e-05
15,0.34381,1.5397,1.2407,0.34216,0.37444,0.32629,0.29943,0.42277,1.8219,1.4218,1.8088e-05,1.8088e-05,1.8088e-05
